secid,date,cp_flag,index_flag,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,volume,open_interest
108105,03/10/2017,C,1,64881510,SPX,9999,32768,,A,,501649,4133449
108105,03/10/2017,P,1,64881510,SPX,9999,32768,,A,,602854,9170104
108105,04/10/2017,,1,64881510,SPX,9999,32768,,A,,1596571,13761432
108105,04/10/2017,C,1,64881510,SPX,9999,32768,,A,,632480,4341611
108105,04/10/2017,P,1,64881510,SPX,9999,32768,,A,,964091,9419821
108105,05/10/2017,,1,64881510,SPX,9999,32768,,A,,1731934,14040276
108105,05/10/2017,C,1,64881510,SPX,9999,32768,,A,,781356,4415283
108105,05/10/2017,P,1,64881510,SPX,9999,32768,,A,,950578,9624993
108105,06/10/2017,,1,64881510,SPX,9999,32768,,A,,1318900,14564233
108105,06/10/2017,C,1,64881510,SPX,9999,32768,,A,,541087,4607726
108105,06/10/2017,P,1,64881510,SPX,9999,32768,,A,,777813,9956507
108105,09/10/2017,,1,64881510,SPX,9999,32768,,A,,935046,14224822
108105,09/10/2017,C,1,64881510,SPX,9999,32768,,A,,278778,4562979
108105,09/10/2017,P,1,64881510,SPX,9999,32768,,A,,656268,9661843
108105,10/10/2017,,1,64881510,SPX,9999,32768,,A,,1008984,14279404
108105,10/10/2017,C,1,64881510,SPX,9999,32768,,A,,430534,4549813
108105,10/10/2017,P,1,64881510,SPX,9999,32768,,A,,578450,9729591
108105,11/10/2017,,1,64881510,SPX,9999,32768,,A,,898971,14491316
108105,11/10/2017,C,1,64881510,SPX,9999,32768,,A,,262117,4584808
108105,11/10/2017,P,1,64881510,SPX,9999,32768,,A,,636854,9906508
108105,12/10/2017,,1,64881510,SPX,9999,32768,,A,,1149620,14557998
108105,12/10/2017,C,1,64881510,SPX,9999,32768,,A,,411318,4576732
108105,12/10/2017,P,1,64881510,SPX,9999,32768,,A,,738302,9981266
108105,13/10/2017,,1,64881510,SPX,9999,32768,,A,,1029088,14962654
108105,13/10/2017,C,1,64881510,SPX,9999,32768,,A,,334065,4685116
108105,13/10/2017,P,1,64881510,SPX,9999,32768,,A,,695023,10277538
